bucket_id,layer,parent_bucket_id,n_train,n_val,pos_rate_train,pos_rate_val,alpha,beta,regret_val,F1_val,Precision_val,Recall_val,BND_ratio_val,pos_coverage_val,use_parent_threshold,threshold_n_samples,n_all,pos_rate_all,BAC_val,AUC_val,score_metric,score_value,parent_score_value,gain_value,is_weak,threshold_source_bucket,parent_with_threshold,n_test,pos_rate_test,BND_ratio_test,POS_Coverage_test,regret_test,fold,pos_rate
L1_Contract=one_year|L2_tenure=short_term|L3_InternetService=others,L3,L1_Contract=one_year|L2_tenure=short_term,11,6,0.2727272727272727,0.16666666666666666,0.6,0.2,,,,,,,True,0,17,0.23529411764705882,,,f1_regret_bnd,,-0.23913043478260868,,True,L1_Contract=one_year|L2_tenure=short_term,L1_Contract=one_year|L2_tenure=short_term,,,,,,2,0.23529411764705882
L1_Contract=month_to_month|L2_tenure=long_term|L3_InternetService=others,L3,L1_Contract=month_to_month|L2_tenure=long_term,12,2,0.08333333333333333,0.0,0.3,0.1,,,,,,,True,0,14,0.07142857142857142,,,f1_regret_bnd,,-0.44441159077468956,,True,ROOT,,,,,,,2,0.07142857142857142
ROOT,L1,,788,338,0.28045685279187815,0.27218934911242604,0.2,0.1,0.5162721893491125,0.5862068965517241,0.4857142857142857,0.7391304347826086,0.15680473372781065,0.41420118343195267,False,338,5634,0.2653532126375577,0.6378579003181336,0.7932131495227995,f1_regret_bnd,-0.008467659661293689,-0.48403311649911296,0.47556545683781926,False,ROOT,,,,,,,3,0.2653532126375577
L1_Contract=month_to_month,L1,ROOT,436,199,0.4380733944954128,0.38190954773869346,0.2,0.1,0.5653266331658291,0.616822429906542,0.4782608695652174,0.868421052631579,0.3065326633165829,0.6934673366834171,True,199,3105,0.42576489533011275,0.4342105263157895,0.7440094137783484,f1_regret_bnd,-0.10177053491757854,-0.008467659661293689,-0.09330287525628485,True,ROOT,,,,,,,3,0.42576489533011275
L1_Contract=month_to_month|L2_tenure=new,L2,L1_Contract=month_to_month,220,99,0.5772727272727273,0.494949494949495,0.2,0.0,0.4898989898989899,0.6976744186046512,0.5625,0.9183673469387755,0.1919191919191919,0.8080808080808081,False,99,1604,0.5093516209476309,0.45918367346938777,0.7057142857142856,f1_regret_bnd,0.11181583274606534,-0.10177053491757854,0.21358636766364386,False,L1_Contract=month_to_month|L2_tenure=new,,,,,,,3,0.5093516209476309
L1_Contract=two_year,L1,ROOT,272,97,0.007352941176470588,0.020618556701030927,0.2,0.1,0.08762886597938144,0.0,0.0,0.0,0.05154639175257732,0.0,True,97,1341,0.028337061894108874,0.4789473684210526,0.6947368421052631,f1_regret_bnd,-0.11340206185567009,-0.008467659661293689,-0.1049344021943764,True,ROOT,,,,,,,3,0.028337061894108874
L1_Contract=one_year,L1,ROOT,160,143,0.10625,0.08391608391608392,0.2,0.1,0.36363636363636365,0.125,0.25,0.08333333333333333,0.3076923076923077,0.027972027972027972,True,143,1188,0.11363636363636363,0.38899491094147587,0.6653944020356234,f1_regret_bnd,-0.3924825174825175,-0.008467659661293689,-0.3840148578212238,True,ROOT,,,,,,,3,0.11363636363636363
L1_Contract=month_to_month|L2_tenure=mid_term,L2,L1_Contract=month_to_month,145,55,0.23448275862068965,0.2727272727272727,0.2,0.1,0.5727272727272728,0.5853658536585367,0.46153846153846156,0.8,0.5272727272727272,0.4727272727272727,True,55,834,0.3261390887290168,0.4,0.7633333333333333,f1_regret_bnd,-0.2509977827050997,-0.10177053491757854,-0.14922724778752117,True,ROOT,,,,,,,3,0.3261390887290168
L1_Contract=two_year|L2_tenure=long_term,L2,L1_Contract=two_year,106,241,0.02830188679245283,0.04564315352697095,0.2,0.1,0.22821576763485477,0.0,0.0,0.0,0.0,0.0,True,241,776,0.029639175257731958,0.5,0.7011857707509882,f1_regret_bnd,-0.22821576763485477,-0.11340206185567009,-0.11481370577918468,True,ROOT,,,,,,,3,0.029639175257731958
L1_Contract=month_to_month|L2_tenure=new|L3_InternetService=fiber,L3,L1_Contract=month_to_month|L2_tenure=new,511,225,0.7103718199608611,0.6622222222222223,0.1,0.0,0.3377777777777778,0.7967914438502675,0.6622222222222223,1.0,0.0,1.0,False,225,736,0.6956521739130435,0.5,0.6336100317908866,f1_regret_bnd,0.45901366607248967,0.11181583274606534,0.34719783332642434,False,L1_Contract=month_to_month|L2_tenure=new|L3_InternetService=fiber,,180.0,0.7277777777777777,0.0,1.0,0.2722222222222222,3,0.6956521739130435
