bucket_id,layer,parent_bucket_id,n_train,n_val,pos_rate_train,pos_rate_val,alpha,beta,regret_val,F1_val,Precision_val,Recall_val,BND_ratio_val,pos_coverage_val,use_parent_threshold,threshold_n_samples,n_all,pos_rate_all,BAC_val,AUC_val,cost_source,score_metric,score_value,parent_score_value,gain_value,is_weak,threshold_source_bucket,parent_with_threshold,n_test,pos_rate_test,BND_ratio_test,POS_Coverage_test,regret_test,fold,pos_rate
L1_group=B|L2_x1=b5|L3_x2=b2,L3,L1_group=B|L2_x1=b5,720,587,0.16111111111111112,0.1567291311754685,0.4,0.2,0.27597955706984667,0.502994011976048,0.56,0.45652173913043476,0.14991482112436116,0.12776831345826234,True,587,1915,0.15195822454308094,0.6323012736056214,0.837066315327185,global_default,f1_regret_bnd,0.15205704434402073,0.44016531060312536,-0.28810826625910463,True,L1_group=B|L2_x1=b5,L1_group=B|L2_x1=b5,,,,,,1,0.15195822454308094
L1_group=D|L2_x1=b4|L3_x2=b4,L3,L1_group=D|L2_x1=b4,702,540,0.292022792022792,0.3592592592592593,0.4,0.2,0.41759259259259257,0.6653543307086613,0.5382165605095541,0.8711340206185567,0.21481481481481482,0.5814814814814815,True,540,1819,0.33864760857614074,0.5887462010607234,0.8232524879327813,global_default,f1_regret_bnd,0.14035433070866138,0.3877978708750664,-0.24744354016640502,True,L1_group=D|L2_x1=b4,L1_group=D|L2_x1=b4,,,,,,1,0.33864760857614074
L1_group=D|L2_x1=b3|L3_x2=b4,L3,L1_group=D|L2_x1=b3,671,565,0.35171385991058124,0.35398230088495575,0.4,0.3,0.4433628318584071,0.6502835538752363,0.5227963525835866,0.86,0.184070796460177,0.5823008849557522,True,565,1817,0.33626857457347276,0.5957534246575342,0.7852465753424658,global_default,f1_regret_bnd,0.11488532378674071,0.33126596468015523,-0.21638064089341452,True,L1_group=D|L2_x1=b3,L1_group=D|L2_x1=b3,,,,,,1,0.33626857457347276
L1_group=C|L2_x1=b5|L3_x2=b3,L3,L1_group=C|L2_x1=b5,691,550,0.3125904486251809,0.3,0.5,0.2,0.44,0.5957446808510639,0.5975609756097561,0.593939393939394,0.24545454545454545,0.29818181818181816,True,550,1817,0.2977435332966428,0.583982683982684,0.7871389216843763,global_default,f1_regret_bnd,0.033017408123791184,0.4495944999228183,-0.41657709179902713,True,L1_group=C|L2_x1=b5,L1_group=C|L2_x1=b5,,,,,,1,0.2977435332966428
L1_group=C|L2_x1=b3|L3_x2=b4,L3,L1_group=C|L2_x1=b3,698,545,0.16475644699140402,0.1706422018348624,0.4,0.2,0.3403669724770642,0.4444444444444444,0.5666666666666667,0.3655913978494624,0.1559633027522936,0.11009174311926606,True,545,1777,0.16657287563308948,0.5865567608716338,0.7835426777048244,global_default,f1_regret_bnd,0.026095820591233415,0.26486966540252505,-0.23877384481129163,True,L1_group=C|L2_x1=b3,L1_group=C|L2_x1=b3,,,,,,1,0.16657287563308948
L1_group=B|L2_x1=b4|L3_x2=b4,L3,L1_group=B|L2_x1=b4,702,500,0.34472934472934474,0.32,0.4,0.2,0.449,0.6178489702517163,0.48736462093862815,0.84375,0.2,0.554,True,500,1771,0.32919254658385094,0.5909926470588236,0.7842463235294118,global_default,f1_regret_bnd,0.06884897025171624,0.20895048666948787,-0.14010151641777163,True,L1_group=B|L2_x1=b4,L1_group=B|L2_x1=b4,,,,,,1,0.32919254658385094
L1_group=A|L2_x1=b4|L3_x2=b4,L3,L1_group=A|L2_x1=b4,699,533,0.24177396280400573,0.18386491557223264,0.4,0.3,0.3621013133208255,0.4787234042553192,0.5,0.45918367346938777,0.08067542213883677,0.16885553470919323,False,533,1764,0.1927437641723356,0.6433849401829698,0.7719446399249354,global_default,f1_regret_bnd,0.07628437986507527,0.01298373713906395,0.06330064272601132,False,L1_group=A|L2_x1=b4|L3_x2=b4,,,,,,,1,0.1927437641723356
L1_group=B|L2_x1=b5|L3_x2=b3,L3,L1_group=B|L2_x1=b5,397,530,0.2947103274559194,0.32075471698113206,0.4,0.2,0.4330188679245283,0.608955223880597,0.6181818181818182,0.6,0.20754716981132076,0.3113207547169811,True,530,1760,0.29715909090909093,0.6111111111111112,0.7952777777777779,global_default,f1_regret_bnd,0.07216277105040828,0.44016531060312536,-0.3680025395527171,True,L1_group=B|L2_x1=b5,L1_group=B|L2_x1=b5,,,,,,1,0.29715909090909093
L1_group=A|L2_x1=b3|L3_x2=b4,L3,L1_group=A|L2_x1=b3,679,503,0.15316642120765833,0.13717693836978131,0.4,0.2,0.3101391650099404,0.30612244897959184,0.5172413793103449,0.21739130434782608,0.20874751491053678,0.05765407554671968,True,503,1750,0.144,0.5050090162292126,0.7669137781339745,global_default,f1_regret_bnd,-0.10839047348561692,0.009734388577064886,-0.1181248620626818,True,L1_group=A,L1_group=A,,,,,,1,0.144
L1_group=B|L2_x1=b3|L3_x2=b4,L3,L1_group=B|L2_x1=b3,652,515,0.2561349693251534,0.2757281553398058,0.4,0.2,0.4077669902912621,0.5986842105263158,0.5617283950617284,0.6408450704225352,0.39223300970873787,0.3145631067961165,True,515,1748,0.2511441647597254,0.5161329909753427,0.8134652418532644,global_default,f1_regret_bnd,-0.0051992846193152364,0.1845792655073142,-0.18977855012662945,True,L1_group=B,L1_group=B,,,,,,1,0.2511441647597254
