bucket_id,Precision,Recall,F1,BAC,AUC,MCC,Kappa,Regret,BND_ratio,POS_Coverage,n_samples,alpha,beta
L1_group=A|L2_x1=b2|L3_x2=b4|L4_x3=b3,0.5,0.09090909090909091,0.15384615384615385,0.5401913875598086,0.815311004784689,0.18017290186800491,0.12593703148425794,0.22641509433962265,0.05660377358490566,0.018867924528301886,106,0.4,0.2
L1_group=C|L2_x1=b2|L3_x2=b1|L4_x3=b1,0.6363636363636364,0.3888888888888889,0.4827586206896552,0.6567085953878407,0.7589098532494759,0.37681226746486535,0.359591100420926,0.47183098591549294,0.323943661971831,0.15492957746478872,71,0.4,0.2
L1_group=C|L2_x1=b4|L3_x2=b3|L4_x3=b3,0.4146341463414634,0.5862068965517241,0.48571428571428565,0.7007957559681697,0.7726790450928382,0.3545049209200271,0.34597806215722127,0.3805031446540881,0.22641509433962265,0.2578616352201258,159,0.4,0.2
L1_group=A|L2_x1=b1|L3_x2=b3|L4_x3=b4,0.0,0.0,0.0,0.5,0.8333333333333334,0.0,0.0,0.06976744186046512,0.0,0.0,43,0.4,0.2
L1_group=C|L2_x1=b5|L3_x2=b2|L4_x3=b1,0.8,0.7096774193548387,0.7521367521367521,0.7206923682140047,0.7828481510621559,0.433114895820848,0.4289810743643663,0.46116504854368934,0.33980582524271846,0.5339805825242718,103,0.4,0.2
L1_group=B|L2_x1=b2|L3_x2=b2|L4_x3=b4,0.8,0.25,0.38095238095238093,0.6195054945054945,0.8173076923076923,0.4038438452238011,0.33349305222807857,0.3177570093457944,0.037383177570093455,0.04672897196261682,107,0.4,0.2
L1_group=D|L2_x1=b4|L3_x2=b2|L4_x3=b3,0.8402777777777778,0.9097744360902256,0.8736462093862816,0.6935235816814764,0.8368079289131921,0.42951450183287265,0.42237762237762233,0.2542372881355932,0.12429378531073447,0.8135593220338984,177,0.4,0.2
L1_group=B|L2_x1=b4|L3_x2=b4|L4_x3=b4,0.7352941176470589,0.8620689655172413,0.7936507936507937,0.8263833199679229,0.892542101042502,0.6412980528998038,0.6349453978159127,0.3263888888888889,0.2777777777777778,0.4722222222222222,72,0.4,0.2
L1_group=A|L2_x1=b3|L3_x2=b2|L4_x3=b3,1.0,0.1111111111111111,0.19999999999999998,0.5555555555555556,0.611111111111111,0.3244428422615251,0.19047619047619047,0.17320261437908496,0.032679738562091505,0.006535947712418301,153,0.4,0.2
L1_group=B|L2_x1=b2|L3_x2=b3|L4_x3=b1,1.0,0.16666666666666666,0.2857142857142857,0.5833333333333334,0.8059071729957806,0.38462978941622167,0.2577487765089722,0.25824175824175827,0.07692307692307693,0.02197802197802198,91,0.4,0.2
L1_group=D|L2_x1=b4|L3_x2=b2|L4_x3=b4,0.7011494252873564,0.9682539682539683,0.8133333333333334,0.6017740429505135,0.7899159663865546,0.31938692250566736,0.2430323299888516,0.34536082474226804,0.08247422680412371,0.8969072164948454,97,0.4,0.2
L1_group=B|L2_x1=b4|L3_x2=b2|L4_x3=b1,0.4,0.25,0.3076923076923077,0.6096938775510203,0.850765306122449,0.27335355511527637,0.2650231124807396,0.1650943396226415,0.07547169811320754,0.04716981132075472,106,0.4,0.2
L1_group=A|L2_x1=b1|L3_x2=b2|L4_x3=b3,0.0,0.0,0.0,0.5,0.5454545454545454,0.0,0.0,0.06666666666666667,0.0,0.0,90,0.4,0.2
L1_group=C|L2_x1=b5|L3_x2=b1|L4_x3=b3,0.9230769230769231,1.0,0.9600000000000001,0.5714285714285714,0.8869047619047619,0.36313651960128146,0.2330097087378642,0.08227848101265822,0.012658227848101266,0.9873417721518988,79,0.4,0.2
L1_group=B|L2_x1=b5|L3_x2=b4|L4_x3=b3,0.660377358490566,0.8974358974358975,0.7608695652173912,0.7344322344322345,0.8095238095238095,0.49259196200261973,0.4629294755877035,0.3765432098765432,0.19753086419753085,0.654320987654321,81,0.4,0.2
L1_group=B|L2_x1=b2|L3_x2=b5|L4_x3=b1,0.6666666666666666,0.25,0.36363636363636365,0.6168032786885246,0.875,0.3667434323290369,0.32067510548523215,0.2028985507246377,0.14492753623188406,0.043478260869565216,69,0.4,0.2
L1_group=A|L2_x1=b5|L3_x2=b2|L4_x3=b3,0.25,0.125,0.16666666666666666,0.5513888888888889,0.7861111111111111,0.14324309802533064,0.13438256658595638,0.19230769230769232,0.22377622377622378,0.027972027972027972,143,0.4,0.2
L1_group=D|L2_x1=b5|L3_x2=b2|L4_x3=b1,0.7534246575342466,0.9482758620689655,0.8396946564885496,0.6637931034482758,0.882282996432818,0.4202552574436184,0.37623762376237624,0.28735632183908044,0.12643678160919541,0.8390804597701149,87,0.4,0.2
L1_group=D|L2_x1=b5|L3_x2=b1|L4_x3=b3,0.8631578947368421,1.0,0.9265536723163842,0.5,0.7776735459662288,0.0,0.0,0.1368421052631579,0.0,1.0,95,0.4,0.2
L1_group=C|L2_x1=b3|L3_x2=b5|L4_x3=b2,0.6,0.375,0.4615384615384615,0.6788793103448276,0.8911637931034483,0.44679223090257514,0.4334203655352481,0.16129032258064516,0.12903225806451613,0.04032258064516129,124,0.4,0.2
L1_group=D|L2_x1=b4|L3_x2=b2|L4_x3=b5,0.7543859649122807,0.9148936170212766,0.8269230769230769,0.624113475177305,0.740628166160081,0.3114395316542212,0.2858809801633605,0.2867647058823529,0.10294117647058823,0.8382352941176471,68,0.4,0.2
L1_group=C|L2_x1=b2|L3_x2=b5|L4_x3=b3,1.0,0.13333333333333333,0.23529411764705882,0.5666666666666667,0.6768115942028986,0.341797303712883,0.20920977828311538,0.38317757009345793,0.1308411214953271,0.018691588785046728,107,0.4,0.2
