bucket_id,alpha,beta,threshold_mode,threshold_source_bucket,is_weak
L1_UniqueCarrier=B6|L2_Origin=TPA,0.2,0.1,bucket_wise,L1_UniqueCarrier=B6|L2_Origin=TPA,False
L1_UniqueCarrier=CO|L2_Origin=ABQ,0.4,0.3,bucket_wise,L1_UniqueCarrier=CO|L2_Origin=ABQ,False
L1_UniqueCarrier=CO|L2_Origin=ATL,0.3,0.2,bucket_wise,L1_UniqueCarrier=CO,True
L1_UniqueCarrier=CO|L2_Origin=AUS,0.4,0.3,bucket_wise,L1_UniqueCarrier=CO|L2_Origin=AUS,False
L1_UniqueCarrier=CO|L2_Origin=BDL,0.3,0.2,bucket_wise,L1_UniqueCarrier=CO|L2_Origin=BDL,False
L1_UniqueCarrier=CO|L2_Origin=BNA,0.3,0.2,bucket_wise,L1_UniqueCarrier=CO|L2_Origin=BNA,False
L1_UniqueCarrier=CO|L2_Origin=BOS,0.3,0.2,bucket_wise,L1_UniqueCarrier=CO,True
L1_UniqueCarrier=CO|L2_Origin=BUF,0.5,0.4,bucket_wise,L1_UniqueCarrier=CO|L2_Origin=BUF,False
L1_UniqueCarrier=CO|L2_Origin=BWI,0.6,0.5,bucket_wise,L1_UniqueCarrier=CO|L2_Origin=BWI,False
L1_UniqueCarrier=CO|L2_Origin=CLE,0.5,0.4,bucket_wise,L1_UniqueCarrier=CO|L2_Origin=CLE,False
L1_UniqueCarrier=CO|L2_Origin=CMH,0.3,0.2,bucket_wise,L1_UniqueCarrier=CO|L2_Origin=CMH,False
L1_UniqueCarrier=CO|L2_Origin=DCA,0.3,0.2,bucket_wise,L1_UniqueCarrier=CO,True
L1_UniqueCarrier=CO|L2_Origin=DEN,0.3,0.2,bucket_wise,L1_UniqueCarrier=CO,True
L1_UniqueCarrier=CO|L2_Origin=DFW,0.6,0.5,bucket_wise,L1_UniqueCarrier=CO|L2_Origin=DFW,False
L1_UniqueCarrier=CO|L2_Origin=DTW,0.3,0.2,bucket_wise,L1_UniqueCarrier=CO,True
L1_UniqueCarrier=CO|L2_Origin=ELP,0.3,0.2,bucket_wise,L1_UniqueCarrier=CO|L2_Origin=ELP,False
L1_UniqueCarrier=CO|L2_Origin=EWR,0.3,0.2,bucket_wise,L1_UniqueCarrier=CO,True
L1_UniqueCarrier=CO|L2_Origin=FLL,0.4,0.3,bucket_wise,L1_UniqueCarrier=CO|L2_Origin=FLL,False
L1_UniqueCarrier=CO|L2_Origin=HNL,0.3,0.2,bucket_wise,L1_UniqueCarrier=CO,True
L1_UniqueCarrier=CO|L2_Origin=HOU,0.3,0.2,bucket_wise,L1_UniqueCarrier=CO|L2_Origin=HOU,False
L1_UniqueCarrier=CO|L2_Origin=IAD,0.3,0.2,bucket_wise,L1_UniqueCarrier=CO,True
L1_UniqueCarrier=CO|L2_Origin=IAH,0.3,0.2,bucket_wise,L1_UniqueCarrier=CO,True
L1_UniqueCarrier=CO|L2_Origin=IND,0.5,0.4,bucket_wise,L1_UniqueCarrier=CO|L2_Origin=IND,False
L1_UniqueCarrier=CO|L2_Origin=JAX,0.3,0.2,bucket_wise,L1_UniqueCarrier=CO|L2_Origin=JAX,False
L1_UniqueCarrier=CO|L2_Origin=LAS,0.3,0.2,bucket_wise,L1_UniqueCarrier=CO,True
L1_UniqueCarrier=CO|L2_Origin=LAX,0.3,0.2,bucket_wise,L1_UniqueCarrier=CO,True
L1_UniqueCarrier=CO|L2_Origin=LGA,0.3,0.2,bucket_wise,L1_UniqueCarrier=CO,True
L1_UniqueCarrier=CO|L2_Origin=MCI,0.3,0.2,bucket_wise,L1_UniqueCarrier=CO,True
L1_UniqueCarrier=CO|L2_Origin=MCO,0.3,0.2,bucket_wise,L1_UniqueCarrier=CO,True
L1_UniqueCarrier=CO|L2_Origin=MDW,0.3,0.2,bucket_wise,L1_UniqueCarrier=CO,True
L1_UniqueCarrier=CO|L2_Origin=MIA,0.3,0.2,bucket_wise,L1_UniqueCarrier=CO,True
L1_UniqueCarrier=CO|L2_Origin=MSP,0.2,0.1,bucket_wise,L1_UniqueCarrier=CO|L2_Origin=MSP,False
L1_UniqueCarrier=CO|L2_Origin=MSY,0.4,0.3,bucket_wise,L1_UniqueCarrier=CO|L2_Origin=MSY,False
L1_UniqueCarrier=CO|L2_Origin=OKC,0.4,0.3,bucket_wise,L1_UniqueCarrier=CO|L2_Origin=OKC,False
L1_UniqueCarrier=CO|L2_Origin=ONT,0.3,0.2,bucket_wise,L1_UniqueCarrier=CO|L2_Origin=ONT,False
L1_UniqueCarrier=CO|L2_Origin=ORD,0.3,0.2,bucket_wise,L1_UniqueCarrier=CO|L2_Origin=ORD,False
L1_UniqueCarrier=CO|L2_Origin=OTHER_ORIGIN,0.4,0.2,bucket_wise,L1_UniqueCarrier=CO|L2_Origin=OTHER_ORIGIN,False
L1_UniqueCarrier=CO|L2_Origin=PBI,0.3,0.2,bucket_wise,L1_UniqueCarrier=CO,True
L1_UniqueCarrier=CO|L2_Origin=PDX,0.4,0.3,bucket_wise,L1_UniqueCarrier=CO|L2_Origin=PDX,False
L1_UniqueCarrier=CO|L2_Origin=PHL,0.3,0.2,bucket_wise,L1_UniqueCarrier=CO|L2_Origin=PHL,False
L1_UniqueCarrier=CO|L2_Origin=PHX,0.3,0.2,bucket_wise,L1_UniqueCarrier=CO|L2_Origin=PHX,False
L1_UniqueCarrier=CO|L2_Origin=PIT,0.3,0.2,bucket_wise,L1_UniqueCarrier=CO,True
L1_UniqueCarrier=CO|L2_Origin=RDU,0.2,0.1,bucket_wise,L1_UniqueCarrier=CO|L2_Origin=RDU,False
L1_UniqueCarrier=CO|L2_Origin=RNO,0.3,0.2,bucket_wise,L1_UniqueCarrier=CO|L2_Origin=RNO,False
L1_UniqueCarrier=CO|L2_Origin=SAN,0.5,0.4,bucket_wise,L1_UniqueCarrier=CO|L2_Origin=SAN,False
L1_UniqueCarrier=CO|L2_Origin=SAT,0.5,0.4,bucket_wise,L1_UniqueCarrier=CO|L2_Origin=SAT,False
L1_UniqueCarrier=CO|L2_Origin=SEA,0.3,0.2,bucket_wise,L1_UniqueCarrier=CO,True
L1_UniqueCarrier=CO|L2_Origin=SFO,0.3,0.2,bucket_wise,L1_UniqueCarrier=CO|L2_Origin=SFO,False
L1_UniqueCarrier=CO|L2_Origin=SJC,0.4,0.3,bucket_wise,L1_UniqueCarrier=CO|L2_Origin=SJC,False
L1_UniqueCarrier=CO|L2_Origin=SJU,0.3,0.2,bucket_wise,L1_UniqueCarrier=CO,True
L1_UniqueCarrier=CO|L2_Origin=SLC,0.3,0.2,bucket_wise,L1_UniqueCarrier=CO|L2_Origin=SLC,False
L1_UniqueCarrier=CO|L2_Origin=SMF,0.2,0.1,bucket_wise,L1_UniqueCarrier=CO|L2_Origin=SMF,False
L1_UniqueCarrier=CO|L2_Origin=SNA,0.4,0.3,bucket_wise,L1_UniqueCarrier=CO|L2_Origin=SNA,False
L1_UniqueCarrier=CO|L2_Origin=STL,0.3,0.2,bucket_wise,L1_UniqueCarrier=CO|L2_Origin=STL,False
L1_UniqueCarrier=CO|L2_Origin=TPA,0.3,0.2,bucket_wise,L1_UniqueCarrier=CO,True
L1_UniqueCarrier=DL|L2_Origin=ABQ,0.4,0.3,bucket_wise,L1_UniqueCarrier=DL|L2_Origin=ABQ,False
L1_UniqueCarrier=DL|L2_Origin=ATL,0.3,0.2,bucket_wise,L1_UniqueCarrier=DL,True
L1_UniqueCarrier=DL|L2_Origin=AUS,0.4,0.3,bucket_wise,L1_UniqueCarrier=DL|L2_Origin=AUS,False
L1_UniqueCarrier=DL|L2_Origin=BDL,0.5,0.4,bucket_wise,L1_UniqueCarrier=DL|L2_Origin=BDL,False
L1_UniqueCarrier=DL|L2_Origin=BNA,0.4,0.3,bucket_wise,L1_UniqueCarrier=DL|L2_Origin=BNA,False
L1_UniqueCarrier=DL|L2_Origin=BOS,0.4,0.3,bucket_wise,L1_UniqueCarrier=DL|L2_Origin=BOS,False
L1_UniqueCarrier=DL|L2_Origin=BUF,0.4,0.3,bucket_wise,L1_UniqueCarrier=DL|L2_Origin=BUF,False
L1_UniqueCarrier=DL|L2_Origin=BWI,0.4,0.3,bucket_wise,L1_UniqueCarrier=DL|L2_Origin=BWI,False
L1_UniqueCarrier=DL|L2_Origin=CLE,0.3,0.2,bucket_wise,L1_UniqueCarrier=DL|L2_Origin=CLE,False
L1_UniqueCarrier=DL|L2_Origin=CLT,0.5,0.4,bucket_wise,L1_UniqueCarrier=DL|L2_Origin=CLT,False
L1_UniqueCarrier=DL|L2_Origin=CMH,0.3,0.2,bucket_wise,L1_UniqueCarrier=DL|L2_Origin=CMH,False
L1_UniqueCarrier=DL|L2_Origin=CVG,0.3,0.2,bucket_wise,L1_UniqueCarrier=DL|L2_Origin=CVG,False
L1_UniqueCarrier=DL|L2_Origin=DCA,0.4,0.3,bucket_wise,L1_UniqueCarrier=DL|L2_Origin=DCA,False
L1_UniqueCarrier=DL|L2_Origin=DEN,0.3,0.2,bucket_wise,L1_UniqueCarrier=DL|L2_Origin=DEN,False
L1_UniqueCarrier=DL|L2_Origin=DFW,0.4,0.3,bucket_wise,L1_UniqueCarrier=DL|L2_Origin=DFW,False
L1_UniqueCarrier=DL|L2_Origin=DTW,0.3,0.2,bucket_wise,L1_UniqueCarrier=DL,True
L1_UniqueCarrier=DL|L2_Origin=ELP,0.3,0.2,bucket_wise,L1_UniqueCarrier=DL|L2_Origin=ELP,False
L1_UniqueCarrier=DL|L2_Origin=EWR,0.2,0.1,bucket_wise,L1_UniqueCarrier=DL|L2_Origin=EWR,False
L1_UniqueCarrier=DL|L2_Origin=FLL,0.5,0.4,bucket_wise,L1_UniqueCarrier=DL|L2_Origin=FLL,False
L1_UniqueCarrier=DL|L2_Origin=HNL,0.4,0.3,bucket_wise,L1_UniqueCarrier=DL|L2_Origin=HNL,False
L1_UniqueCarrier=DL|L2_Origin=HOU,0.4,0.3,bucket_wise,L1_UniqueCarrier=DL|L2_Origin=HOU,False
L1_UniqueCarrier=DL|L2_Origin=IAD,0.5,0.4,bucket_wise,L1_UniqueCarrier=DL|L2_Origin=IAD,False
L1_UniqueCarrier=DL|L2_Origin=IAH,0.3,0.2,bucket_wise,L1_UniqueCarrier=DL,True
L1_UniqueCarrier=DL|L2_Origin=IND,0.3,0.2,bucket_wise,L1_UniqueCarrier=DL,True
L1_UniqueCarrier=DL|L2_Origin=JAX,0.4,0.3,bucket_wise,L1_UniqueCarrier=DL|L2_Origin=JAX,False
L1_UniqueCarrier=DL|L2_Origin=JFK,0.3,0.2,bucket_wise,L1_UniqueCarrier=DL,True
L1_UniqueCarrier=DL|L2_Origin=LAS,0.3,0.2,bucket_wise,L1_UniqueCarrier=DL|L2_Origin=LAS,False
