bucket_id,level,assigned_samples,used_local_decision,fallback_to_parent,parent_id,is_weak,effective_bucket_id,fallback_from_children
L1_UniqueCarrier=AA|L2_Origin=DFW|L3_CRSDepTime=evening|L4_Distance=300-800,4,360,0,360,L1_UniqueCarrier=AA|L2_Origin=DFW|L3_CRSDepTime=evening,True,L1_UniqueCarrier=AA|L2_Origin=DFW|L3_CRSDepTime=evening,0
L1_UniqueCarrier=AA|L2_Origin=DFW|L3_CRSDepTime=evening,3,0,568,0,L1_UniqueCarrier=AA|L2_Origin=DFW,False,L1_UniqueCarrier=AA|L2_Origin=DFW|L3_CRSDepTime=evening,568
L1_UniqueCarrier=AA|L2_Origin=DFW|L3_CRSDepTime=evening|L4_Distance=800-1500,4,728,728,0,L1_UniqueCarrier=AA|L2_Origin=DFW|L3_CRSDepTime=evening,False,L1_UniqueCarrier=AA|L2_Origin=DFW|L3_CRSDepTime=evening|L4_Distance=800-1500,0
L1_UniqueCarrier=AA|L2_Origin=DFW|L3_CRSDepTime=evening|L4_Distance=<=300,4,208,0,208,L1_UniqueCarrier=AA|L2_Origin=DFW|L3_CRSDepTime=evening,True,L1_UniqueCarrier=AA|L2_Origin=DFW|L3_CRSDepTime=evening,0
L1_UniqueCarrier=AA|L2_Origin=DFW|L3_CRSDepTime=morning|L4_Distance=1500-5000,4,115,115,0,L1_UniqueCarrier=AA|L2_Origin=DFW|L3_CRSDepTime=morning,False,L1_UniqueCarrier=AA|L2_Origin=DFW|L3_CRSDepTime=morning|L4_Distance=1500-5000,0
L1_UniqueCarrier=AA|L2_Origin=DFW|L3_CRSDepTime=morning|L4_Distance=300-800,4,412,0,412,L1_UniqueCarrier=AA|L2_Origin=DFW|L3_CRSDepTime=morning,True,L1_UniqueCarrier=AA|L2_Origin=DFW|L3_CRSDepTime=morning,0
L1_UniqueCarrier=AA|L2_Origin=DFW|L3_CRSDepTime=morning,3,0,1424,0,L1_UniqueCarrier=AA|L2_Origin=DFW,False,L1_UniqueCarrier=AA|L2_Origin=DFW|L3_CRSDepTime=morning,1424
L1_UniqueCarrier=AA|L2_Origin=DFW|L3_CRSDepTime=morning|L4_Distance=800-1500,4,1012,0,1012,L1_UniqueCarrier=AA|L2_Origin=DFW|L3_CRSDepTime=morning,True,L1_UniqueCarrier=AA|L2_Origin=DFW|L3_CRSDepTime=morning,0
L1_UniqueCarrier=AA|L2_Origin=DFW|L3_CRSDepTime=morning|L4_Distance=<=300,4,186,186,0,L1_UniqueCarrier=AA|L2_Origin=DFW|L3_CRSDepTime=morning,False,L1_UniqueCarrier=AA|L2_Origin=DFW|L3_CRSDepTime=morning|L4_Distance=<=300,0
L1_UniqueCarrier=AA|L2_Origin=DFW|L3_CRSDepTime=night|L4_Distance=300-800,4,48,0,48,L1_UniqueCarrier=AA|L2_Origin=DFW|L3_CRSDepTime=night,True,ROOT,0
L1_UniqueCarrier=AA|L2_Origin=DFW|L3_CRSDepTime=night|L4_Distance=800-1500,4,139,139,0,L1_UniqueCarrier=AA|L2_Origin=DFW|L3_CRSDepTime=night,False,L1_UniqueCarrier=AA|L2_Origin=DFW|L3_CRSDepTime=night|L4_Distance=800-1500,0
L1_UniqueCarrier=AA|L2_Origin=DFW|L3_CRSDepTime=night|L4_Distance=<=300,4,19,0,19,L1_UniqueCarrier=AA|L2_Origin=DFW|L3_CRSDepTime=night,True,ROOT,0
L1_UniqueCarrier=AA|L2_Origin=DFW|L3_CRSDepTime=night|L4_Distance=others,4,9,0,9,L1_UniqueCarrier=AA|L2_Origin=DFW|L3_CRSDepTime=night,True,ROOT,0
L1_UniqueCarrier=AA|L2_Origin=DTW|L3_CRSDepTime=afternoon|L4_Distance=300-800,4,5,0,5,L1_UniqueCarrier=AA|L2_Origin=DTW|L3_CRSDepTime=afternoon,True,L1_UniqueCarrier=AA|L2_Origin=DTW,0
