fold,bucket_id,parent_id,level,split_name,split_type,split_rule,n_samples_total,n_train,n_val,n_test,is_leaf,is_weak,effective_bucket_id
1,L1_Location=Cobar|L2_RainToday=rain_today_no,L1_Location=Cobar,2,L2_RainToday,category_group,rain_today_no,2073,587,278,,False,True,L1_Location=Cobar
1,L1_Location=Cobar|L2_RainToday=others,L1_Location=Cobar,2,L2_RainToday,category_group,others,297,214,83,95.0,True,True,L1_Location=Cobar
1,L1_Location=CoffsHarbour|L2_RainToday=rain_today_no,L1_Location=CoffsHarbour,2,L2_RainToday,category_group,rain_today_no,1666,233,196,,False,False,L1_Location=CoffsHarbour|L2_RainToday=rain_today_no
1,L1_Location=CoffsHarbour|L2_RainToday=rain_today_yes,L1_Location=CoffsHarbour,2,L2_RainToday,category_group,rain_today_yes,698,513,185,,False,False,L1_Location=CoffsHarbour|L2_RainToday=rain_today_yes
1,L1_Location=CoffsHarbour|L2_RainToday=others,L1_Location=CoffsHarbour,2,L2_RainToday,category_group,others,9,6,3,4.0,True,True,ROOT
1,L1_Location=Dartmoor|L2_RainToday=rain_today_no,L1_Location=Dartmoor,2,L2_RainToday,category_group,rain_today_no,1620,667,499,,False,True,L1_Location=Dartmoor
1,L1_Location=Dartmoor|L2_RainToday=rain_today_yes,L1_Location=Dartmoor,2,L2_RainToday,category_group,rain_today_yes,742,507,235,,False,False,L1_Location=Dartmoor|L2_RainToday=rain_today_yes
1,L1_Location=Dartmoor|L2_RainToday=others,L1_Location=Dartmoor,2,L2_RainToday,category_group,others,4,1,3,,True,True,L1_Location=Dartmoor
1,L1_Location=Darwin|L2_RainToday=rain_today_no,L1_Location=Darwin,2,L2_RainToday,category_group,rain_today_no,1845,309,311,,False,False,L1_Location=Darwin|L2_RainToday=rain_today_no
1,L1_Location=Darwin|L2_RainToday=rain_today_yes,L1_Location=Darwin,2,L2_RainToday,category_group,rain_today_yes,690,504,186,,False,True,L1_Location=Darwin
1,L1_Location=GoldCoast|L2_RainToday=rain_today_no,L1_Location=GoldCoast,2,L2_RainToday,category_group,rain_today_no,1747,243,216,,False,True,ROOT
1,L1_Location=GoldCoast|L2_RainToday=rain_today_yes,L1_Location=GoldCoast,2,L2_RainToday,category_group,rain_today_yes,602,430,172,,False,False,L1_Location=GoldCoast|L2_RainToday=rain_today_yes
1,L1_Location=GoldCoast|L2_RainToday=others,L1_Location=GoldCoast,2,L2_RainToday,category_group,others,45,30,15,11.0,True,True,ROOT
1,L1_Location=Hobart|L2_RainToday=rain_today_no,L1_Location=Hobart,2,L2_RainToday,category_group,rain_today_no,1913,615,271,,False,True,ROOT
1,L1_Location=Hobart|L2_RainToday=rain_today_yes,L1_Location=Hobart,2,L2_RainToday,category_group,rain_today_yes,599,403,196,,False,True,ROOT
1,L1_Location=Hobart|L2_RainToday=others,L1_Location=Hobart,2,L2_RainToday,category_group,others,4,1,3,1.0,True,True,ROOT
1,L1_Location=Katherine|L2_RainToday=rain_today_no,L1_Location=Katherine,2,L2_RainToday,category_group,rain_today_no,1052,402,358,,False,True,L1_Location=Katherine
1,L1_Location=Katherine|L2_RainToday=others,L1_Location=Katherine,2,L2_RainToday,category_group,others,229,154,75,,True,True,L1_Location=Katherine
1,L1_Location=Launceston|L2_RainToday=rain_today_no,L1_Location=Launceston,2,L2_RainToday,category_group,rain_today_no,1824,643,275,,False,True,ROOT
1,L1_Location=Launceston|L2_RainToday=rain_today_yes,L1_Location=Launceston,2,L2_RainToday,category_group,rain_today_yes,554,402,152,143.0,True,False,L1_Location=Launceston|L2_RainToday=rain_today_yes
1,L1_Location=Launceston|L2_RainToday=others,L1_Location=Launceston,2,L2_RainToday,category_group,others,5,2,3,3.0,True,True,ROOT
1,L1_Location=Melbourne|L2_RainToday=rain_today_no,L1_Location=Melbourne,2,L2_RainToday,category_group,rain_today_no,1390,488,389,,False,False,L1_Location=Melbourne|L2_RainToday=rain_today_no
1,L1_Location=Melbourne|L2_RainToday=rain_today_yes,L1_Location=Melbourne,2,L2_RainToday,category_group,rain_today_yes,474,347,127,,False,False,L1_Location=Melbourne|L2_RainToday=rain_today_yes
1,L1_Location=Melbourne|L2_RainToday=others,L1_Location=Melbourne,2,L2_RainToday,category_group,others,103,73,30,,True,True,ROOT
1,L1_Location=MelbourneAirport|L2_RainToday=rain_today_no,L1_Location=MelbourneAirport,2,L2_RainToday,category_group,rain_today_no,1933,389,297,,False,False,L1_Location=MelbourneAirport|L2_RainToday=rain_today_no
1,L1_Location=MelbourneAirport|L2_RainToday=rain_today_yes,L1_Location=MelbourneAirport,2,L2_RainToday,category_group,rain_today_yes,520,380,140,,False,True,ROOT
1,L1_Location=Mildura|L2_RainToday=rain_today_no,L1_Location=Mildura,2,L2_RainToday,category_group,rain_today_no,2151,341,280,,False,False,L1_Location=Mildura|L2_RainToday=rain_today_no
1,L1_Location=Mildura|L2_RainToday=others,L1_Location=Mildura,2,L2_RainToday,category_group,others,264,189,75,64.0,True,True,L1_Location=Mildura
1,L1_Location=Moree|L2_RainToday=rain_today_no,L1_Location=Moree,2,L2_RainToday,category_group,rain_today_no,1918,506,208,,False,False,L1_Location=Moree|L2_RainToday=rain_today_no
1,L1_Location=Moree|L2_RainToday=others,L1_Location=Moree,2,L2_RainToday,category_group,others,354,247,107,91.0,True,True,ROOT
1,L1_Location=MountGambier|L2_RainToday=rain_today_no,L1_Location=MountGambier,2,L2_RainToday,category_group,rain_today_no,1677,416,491,,False,True,L1_Location=MountGambier
1,L1_Location=MountGambier|L2_RainToday=rain_today_yes,L1_Location=MountGambier,2,L2_RainToday,category_group,rain_today_yes,727,503,224,,False,False,L1_Location=MountGambier|L2_RainToday=rain_today_yes
1,L1_Location=MountGambier|L2_RainToday=others,L1_Location=MountGambier,2,L2_RainToday,category_group,others,6,6,0,2.0,True,True,L1_Location=MountGambier
1,L1_Location=MountGinini|L2_RainToday=rain_today_no,L1_Location=MountGinini,2,L2_RainToday,category_group,rain_today_no,1648,446,445,,False,True,L1_Location=MountGinini
1,L1_Location=MountGinini|L2_RainToday=rain_today_yes,L1_Location=MountGinini,2,L2_RainToday,category_group,rain_today_yes,630,198,187,,False,True,L1_Location=MountGinini
1,L1_Location=MountGinini|L2_RainToday=others,L1_Location=MountGinini,2,L2_RainToday,category_group,others,71,49,22,20.0,True,True,L1_Location=MountGinini
1,L1_Location=Newcastle|L2_RainToday=rain_today_no,L1_Location=Newcastle,2,L2_RainToday,category_group,rain_today_no,1752,466,572,,False,True,ROOT
1,L1_Location=Newcastle|L2_RainToday=rain_today_yes,L1_Location=Newcastle,2,L2_RainToday,category_group,rain_today_yes,571,389,182,150.0,True,True,ROOT
1,L1_Location=Newcastle|L2_RainToday=others,L1_Location=Newcastle,2,L2_RainToday,category_group,others,20,15,5,6.0,True,True,ROOT
1,L1_Location=Nhil|L2_RainToday=rain_today_no,L1_Location=Nhil,2,L2_RainToday,category_group,rain_today_no,1062,422,336,,False,False,L1_Location=Nhil|L2_RainToday=rain_today_no
1,L1_Location=Nhil|L2_RainToday=others,L1_Location=Nhil,2,L2_RainToday,category_group,others,198,152,46,,True,True,L1_Location=Nhil
1,L1_Location=NorahHead|L2_RainToday=rain_today_no,L1_Location=NorahHead,2,L2_RainToday,category_group,rain_today_no,1671,316,479,,False,True,L1_Location=NorahHead
1,L1_Location=NorahHead|L2_RainToday=rain_today_yes,L1_Location=NorahHead,2,L2_RainToday,category_group,rain_today_yes,648,453,195,,False,False,L1_Location=NorahHead|L2_RainToday=rain_today_yes
1,L1_Location=NorahHead|L2_RainToday=others,L1_Location=NorahHead,2,L2_RainToday,category_group,others,31,23,8,10.0,True,True,L1_Location=NorahHead
1,L1_Location=NorfolkIsland|L2_RainToday=rain_today_no,L1_Location=NorfolkIsland,2,L2_RainToday,category_group,rain_today_no,1636,223,235,,False,True,ROOT
