bucket_id,Precision,Recall,F1,BAC,AUC,MCC,Kappa,Regret,BND_ratio,POS_Coverage,n_samples,alpha,beta
L1_Location=OTHERS|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_high|L4_Cloud3pm=unknown|L5_Sunshine=unknown,0.7058823529411765,0.9230769230769231,0.8000000000000002,0.8052884615384616,0.9326923076923077,0.6165339121708651,0.5934579439252337,0.3103448275862069,0.2413793103448276,0.5862068965517241,29,0.4,0.2
L1_Location=Launceston|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_low|L4_Cloud3pm=unknown|L5_Sunshine=unknown,0.0,0.0,0.0,0.5,0.7833333333333334,0.0,0.0,0.12650602409638553,0.03614457831325301,0.0,83,0.4,0.2
L1_Location=OTHERS|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_mid|L4_Cloud3pm=cloud_low|L5_Sunshine=sun_high,0.0,0.0,0.0,0.5,0.8378378378378377,0.0,0.0,0.16025641025641027,0.01282051282051282,0.0,78,0.4,0.2
L1_Location=Brisbane|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_mid|L4_Cloud3pm=cloud_low|L5_Sunshine=sun_high,1.0,0.1,0.18181818181818182,0.55,0.7712574850299402,0.3080363024650888,0.1733264141152051,0.1553672316384181,0.03389830508474576,0.005649717514124294,177,0.4,0.2
L1_Location=Ballarat|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_high|L4_Cloud3pm=cloud_high|L5_Sunshine=unknown,0.813953488372093,0.8536585365853658,0.8333333333333333,0.7888982338099243,0.8940285954583683,0.5847223575010757,0.5836873406966865,0.2571428571428571,0.2,0.6142857142857143,70,0.4,0.2
L1_Location=Mildura|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_low|L4_Cloud3pm=cloud_low|L5_Sunshine=sun_high,0.0,0.0,0.0,0.5,0.9063926940639269,0.0,0.0,0.06040268456375839,0.0,0.0,149,0.4,0.2
L1_Location=CoffsHarbour|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_mid|L4_Cloud3pm=cloud_mid|L5_Sunshine=sun_mid,0.75,0.3,0.4285714285714285,0.6236842105263157,0.5631578947368421,0.34097383755170546,0.2883435582822087,0.6724137931034483,0.5172413793103449,0.13793103448275862,29,0.4,0.2
L1_Location=Cobar|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_low|L4_Cloud3pm=cloud_low|L5_Sunshine=sun_high,0.0,0.0,0.0,1.0,,0.0,,0.0,0.0,0.0,50,0.4,0.2
L1_Location=Nuriootpa|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_high|L4_Cloud3pm=cloud_mid|L5_Sunshine=sun_low,0.5714285714285714,1.0,0.7272727272727273,0.8125,0.84375,0.5976143046671968,0.5263157894736843,0.4166666666666667,0.3333333333333333,0.5833333333333334,12,0.4,0.2
L1_Location=Perth|L2_RainToday=rain_today_yes|L3_Humidity3pm=hum_mid|L4_Cloud3pm=cloud_mid|L5_Sunshine=sun_mid,0.8181818181818182,0.8571428571428571,0.8372093023255814,0.8233082706766917,0.8345864661654135,0.6490612250874742,0.6482412060301508,0.275,0.275,0.55,40,0.4,0.2
L1_Location=Bendigo|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_mid|L4_Cloud3pm=cloud_high|L5_Sunshine=unknown,0.8571428571428571,0.5,0.631578947368421,0.7333333333333334,0.8861111111111111,0.565685424949238,0.5333333333333333,0.3333333333333333,0.23809523809523808,0.16666666666666666,42,0.4,0.2
L1_Location=MountGinini|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_mid|L4_Cloud3pm=unknown|L5_Sunshine=unknown,0.5,0.058823529411764705,0.10526315789473684,0.5260560600078957,0.6845637583892616,0.14481695597568142,0.08554763447828895,0.286144578313253,0.07228915662650602,0.012048192771084338,166,0.4,0.2
L1_Location=Albany|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_mid|L4_Cloud3pm=cloud_high|L5_Sunshine=sun_low,0.0,0.0,0.0,0.375,0.4375,-0.25,-0.25,0.55,0.5,0.2,10,0.4,0.2
L1_Location=Perth|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_mid|L4_Cloud3pm=cloud_mid|L5_Sunshine=sun_mid,0.75,0.5625,0.6428571428571429,0.74375,0.8546875,0.5367198354991009,0.527027027027027,0.375,0.3392857142857143,0.21428571428571427,56,0.4,0.2
L1_Location=NorahHead|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_high|L4_Cloud3pm=unknown|L5_Sunshine=unknown,0.4897959183673469,0.5,0.4948453608247423,0.6331775700934579,0.7595404984423676,0.2648638070904553,0.2648339947730133,0.5193548387096775,0.23870967741935484,0.3161290322580645,155,0.4,0.2
L1_Location=NorfolkIsland|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_mid|L4_Cloud3pm=cloud_high|L5_Sunshine=sun_low,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.5,0.5,0.0,2,0.4,0.2
L1_Location=Woomera|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_low|L4_Cloud3pm=unknown|L5_Sunshine=unknown,0.0,0.0,0.0,0.5,0.9594594594594594,0.0,0.0,0.09210526315789473,0.02631578947368421,0.0,76,0.4,0.2
L1_Location=OTHERS|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_low|L4_Cloud3pm=cloud_low|L5_Sunshine=sun_mid,0.0,0.0,0.0,0.5,0.4285714285714286,0.0,0.0,0.5,0.25,0.0,8,0.4,0.2
L1_Location=Hobart|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_mid|L4_Cloud3pm=unknown|L5_Sunshine=sun_high,1.0,0.5,0.6666666666666666,0.75,0.9791666666666667,0.6998542122237651,0.6575342465753424,0.08,0.04,0.02,50,0.4,0.2
L1_Location=PerthAirport|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_low|L4_Cloud3pm=cloud_low|L5_Sunshine=sun_high,0.0,0.0,0.0,0.5,0.9080188679245282,0.0,0.0,0.07339449541284404,0.0045871559633027525,0.0,218,0.4,0.2
L1_Location=Witchcliffe|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_high|L4_Cloud3pm=unknown|L5_Sunshine=unknown,0.8695652173913043,0.8333333333333334,0.851063829787234,0.7666666666666666,0.7375,0.5194504037948523,0.5182186234817814,0.29411764705882354,0.29411764705882354,0.6764705882352942,34,0.4,0.2
L1_Location=SalmonGums|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_low|L4_Cloud3pm=unknown|L5_Sunshine=unknown,0.0,0.0,0.0,0.49838709677419357,0.8912442396313364,-0.014327546627925054,-0.005801104972375626,0.1797583081570997,0.03323262839879154,0.0030211480362537764,331,0.4,0.2
L1_Location=Moree|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_low|L4_Cloud3pm=unknown|L5_Sunshine=unknown,0.0,0.0,0.0,0.5,0.6666666666666667,0.0,0.0,0.09302325581395349,0.046511627906976744,0.0,43,0.4,0.2
L1_Location=OTHERS|L2_RainToday=rain_today_yes|L3_Humidity3pm=hum_mid|L4_Cloud3pm=cloud_low|L5_Sunshine=unknown,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.4166666666666667,0.5,0.0,12,0.4,0.2
L1_Location=Sydney|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_low|L4_Cloud3pm=cloud_low|L5_Sunshine=sun_high,0.0,0.0,0.0,0.5,0.6029411764705883,0.0,0.0,0.050724637681159424,0.014492753623188406,0.0,69,0.4,0.2
L1_Location=Cairns|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_mid|L4_Cloud3pm=unknown|L5_Sunshine=unknown,0.0,0.0,0.0,0.4782608695652174,0.8695652173913043,-0.07223151185146152,-0.061224489795918435,0.3269230769230769,0.2692307692307692,0.038461538461538464,26,0.4,0.2
L1_Location=PearceRAAF|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_low|L4_Cloud3pm=cloud_low|L5_Sunshine=sun_high,0.0,0.0,0.0,0.5,0.8333333333333333,0.0,0.0,0.0594059405940594,0.0,0.0,101,0.4,0.2
L1_Location=Portland|L2_RainToday=rain_today_yes|L3_Humidity3pm=hum_mid|L4_Cloud3pm=cloud_mid|L5_Sunshine=sun_mid,0.8888888888888888,0.6153846153846154,0.7272727272727274,0.7521367521367521,0.8547008547008548,0.5042735042735043,0.472,0.45454545454545453,0.36363636363636365,0.4090909090909091,22,0.4,0.2
L1_Location=Darwin|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_mid|L4_Cloud3pm=cloud_mid|L5_Sunshine=sun_high,0.6,0.2857142857142857,0.3870967741935483,0.6190476190476191,0.8021541950113379,0.3244428422615251,0.2962962962962963,0.4,0.24761904761904763,0.09523809523809523,105,0.4,0.2
L1_Location=Nuriootpa|L2_RainToday=rain_today_yes|L3_Humidity3pm=hum_mid|L4_Cloud3pm=cloud_low|L5_Sunshine=unknown,0.0,0.0,0.0,1.0,,0.0,,0.0,0.0,0.0,1,0.4,0.2
L1_Location=Townsville|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_mid|L4_Cloud3pm=cloud_mid|L5_Sunshine=sun_mid,0.0,0.0,0.0,0.4642857142857143,0.7658730158730159,-0.09759000729485333,-0.09090909090909083,0.375,0.2916666666666667,0.0625,48,0.4,0.2
L1_Location=Hobart|L2_RainToday=rain_today_yes|L3_Humidity3pm=hum_high|L4_Cloud3pm=unknown|L5_Sunshine=sun_low,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09090909090909091,0.18181818181818182,0.8181818181818182,11,0.4,0.2
L1_Location=GoldCoast|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_mid|L4_Cloud3pm=unknown|L5_Sunshine=unknown,0.6666666666666666,0.1111111111111111,0.1904761904761905,0.5519191919191919,0.7753535353535354,0.24151826072886598,0.16278701504354698,0.2942122186495177,0.16720257234726688,0.01929260450160772,311,0.4,0.2
L1_Location=Sale|L2_RainToday=rain_today_yes|L3_Humidity3pm=hum_high|L4_Cloud3pm=cloud_mid|L5_Sunshine=unknown,0.8,0.8,0.8000000000000002,0.4,0.8,-0.2,-0.19999999999999996,0.3333333333333333,0.16666666666666666,0.8333333333333334,6,0.4,0.2
L1_Location=Albany|L2_RainToday=rain_today_yes|L3_Humidity3pm=unknown|L4_Cloud3pm=unknown|L5_Sunshine=unknown,0.5294117647058824,0.6923076923076923,0.5999999999999999,0.6239316239316239,0.735042735042735,0.24577153748744537,0.23770491803278693,0.5645161290322581,0.3225806451612903,0.5483870967741935,31,0.4,0.2
L1_Location=AliceSprings|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_low|L4_Cloud3pm=cloud_mid|L5_Sunshine=sun_high,0.5,0.14285714285714285,0.22222222222222224,0.5654761904761905,0.7261904761904762,0.2380082773243535,0.19469026548672563,0.21978021978021978,0.07692307692307693,0.02197802197802198,91,0.4,0.2
L1_Location=WaggaWagga|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_low|L4_Cloud3pm=cloud_low|L5_Sunshine=sun_high,0.0,0.0,0.0,1.0,,0.0,,0.0,0.0,0.0,142,0.4,0.2
L1_Location=Richmond|L2_RainToday=rain_today_no|L3_Humidity3pm=hum_low|L4_Cloud3pm=unknown|L5_Sunshine=unknown,0.75,0.6,0.6666666666666665,0.7972067039106145,0.8770949720670391,0.6627257822400497,0.6584158415841583,0.057065217391304345,0.03804347826086957,0.021739130434782608,184,0.4,0.2
